-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883069+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882724+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883070+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883071+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883071+2.096601j,-0.882723+2.096560j,0.000000
-0.460726+1.954189j,-0.883071+2.096601j,-0.882723+2.096560j,0.000000
