-0.982545+0.012617j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982526+0.012613j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982507+0.012609j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982488+0.012604j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982469+0.012600j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982450+0.012596j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982432+0.012592j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982413+0.012587j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982394+0.012583j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982375+0.012579j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982357+0.012575j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982338+0.012571j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982319+0.012567j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982301+0.012562j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982282+0.012558j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982264+0.012554j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982245+0.012550j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982227+0.012546j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982208+0.012542j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982190+0.012538j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982172+0.012534j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982153+0.012530j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982135+0.012526j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982117+0.012523j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982099+0.012519j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982081+0.012515j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982062+0.012511j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982044+0.012507j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982026+0.012503j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982008+0.012500j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981990+0.012496j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981972+0.012492j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981954+0.012488j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981936+0.012485j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981919+0.012481j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981901+0.012477j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981883+0.012474j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981865+0.012470j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981847+0.012466j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981830+0.012463j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981812+0.012459j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981794+0.012455j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981777+0.012452j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981759+0.012448j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981742+0.012445j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981724+0.012441j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981707+0.012438j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981689+0.012434j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981672+0.012431j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981654+0.012427j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.981637+0.012424j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981619+0.012421j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981602+0.012417j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981585+0.012414j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981568+0.012411j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981550+0.012407j,1.386297+0.000000j,1.386292-0.000000j,0.000000
