-1.009601+0.011141j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009574+0.011175j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009548+0.011209j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009522+0.011243j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009495+0.011277j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009469+0.011311j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009444+0.011345j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009418+0.011380j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009392+0.011414j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009367+0.011448j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009341+0.011482j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009316+0.011517j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009290+0.011551j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009265+0.011585j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009240+0.011620j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009215+0.011654j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009191+0.011689j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009166+0.011723j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009141+0.011757j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009117+0.011792j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009092+0.011827j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009068+0.011861j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009044+0.011896j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009020+0.011931j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008996+0.011965j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008972+0.012000j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008948+0.012035j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008925+0.012070j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008901+0.012105j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008878+0.012140j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008854+0.012175j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008831+0.012210j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008808+0.012245j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008785+0.012280j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008762+0.012315j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008739+0.012351j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008717+0.012386j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008694+0.012421j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008672+0.012457j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008649+0.012492j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008627+0.012528j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008605+0.012563j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008583+0.012599j,1.386295-0.000001j,1.386294+0.000001j,0.000000
