0.059882+0.045200j,-0.060633-0.062833j,-0.060616-0.062829j,0.000000
0.059883+0.045200j,-0.060632-0.062832j,-0.060616-0.062830j,0.000000
0.059884+0.045201j,-0.060631-0.062831j,-0.060617-0.062831j,0.000000
0.059884+0.045201j,-0.060631-0.062831j,-0.060618-0.062832j,0.000000
0.059885+0.045202j,-0.060630-0.062830j,-0.060618-0.062834j,0.000000
0.059885+0.045203j,-0.060630-0.062828j,-0.060618-0.062835j,0.000000
0.059886+0.045204j,-0.060630-0.062827j,-0.060618-0.062836j,0.000000
0.059886+0.045205j,-0.060630-0.062826j,-0.060618-0.062837j,0.000000
0.059886+0.045206j,-0.060630-0.062825j,-0.060618-0.062839j,0.000000
0.059886+0.045207j,-0.060630-0.062824j,-0.060617-0.062840j,0.000000
0.059886+0.045208j,-0.060630-0.062822j,-0.060617-0.062842j,0.000000
0.059886+0.045210j,-0.060631-0.062820j,-0.060616-0.062843j,0.000000
0.059886+0.045211j,-0.060631-0.062819j,-0.060615-0.062845j,0.000000
0.059886+0.045213j,-0.060632-0.062817j,-0.060614-0.062847j,0.000000
0.059885+0.045215j,-0.060633-0.062814j,-0.060612-0.062850j,0.000000
0.059885+0.045217j,-0.060634-0.062812j,-0.060611-0.062852j,0.000000
0.059885+0.045220j,-0.060635-0.062809j,-0.060609-0.062855j,0.000000
0.059884+0.045223j,-0.060636-0.062806j,-0.060608-0.062858j,0.000000
0.059884+0.045226j,-0.060637-0.062803j,-0.060606-0.062862j,0.000000
0.059883+0.045229j,-0.060639-0.062799j,-0.060603-0.062866j,0.000000
0.059883+0.045232j,-0.060641-0.062795j,-0.060601-0.062870j,0.000000
0.059882+0.045236j,-0.060642-0.062790j,-0.060598-0.062875j,0.000000
0.059881+0.045241j,-0.060644-0.062785j,-0.060595-0.062880j,0.000000
0.059881+0.045246j,-0.060647-0.062780j,-0.060592-0.062885j,0.000000
0.059880+0.045251j,-0.060649-0.062774j,-0.060588-0.062891j,0.000000
0.059879+0.045257j,-0.060652-0.062768j,-0.060584-0.062898j,0.000000
0.059878+0.045263j,-0.060654-0.062761j,-0.060580-0.062905j,0.000000
0.059877+0.045270j,-0.060658-0.062753j,-0.060575-0.062913j,0.000000
0.059875+0.045277j,-0.060661-0.062745j,-0.060570-0.062922j,0.000000
0.059874+0.045285j,-0.060665-0.062736j,-0.060564-0.062931j,0.000000
0.059872+0.045294j,-0.060669-0.062726j,-0.060558-0.062941j,0.000000
0.059871+0.045303j,-0.060673-0.062716j,-0.060551-0.062952j,0.000000
0.059869+0.045314j,-0.060678-0.062704j,-0.060544-0.062964j,0.000000
0.059867+0.045325j,-0.060683-0.062692j,-0.060536-0.062976j,0.000000
0.059865+0.045337j,-0.060688-0.062679j,-0.060528-0.062990j,0.000000
0.059863+0.045349j,-0.060694-0.062665j,-0.060519-0.063005j,0.000000
0.059860+0.045363j,-0.060701-0.062649j,-0.060509-0.063020j,0.000000
0.059858+0.045378j,-0.060708-0.062633j,-0.060499-0.063037j,0.000001
0.059855+0.045394j,-0.060715-0.062615j,-0.060488-0.063056j,0.000001
0.059852+0.045411j,-0.060723-0.062596j,-0.060476-0.063075j,0.000001
0.059849+0.045429j,-0.060731-0.062576j,-0.060463-0.063096j,0.000001
0.059846+0.045448j,-0.060740-0.062554j,-0.060449-0.063118j,0.000001
0.059842+0.045469j,-0.060750-0.062531j,-0.060435-0.063142j,0.000001
0.059838+0.045491j,-0.060761-0.062506j,-0.060419-0.063168j,0.000002
0.059834+0.045515j,-0.060772-0.062480j,-0.060402-0.063195j,0.000002
0.059829+0.045540j,-0.060783-0.062452j,-0.060385-0.063224j,0.000002
0.059825+0.045567j,-0.060796-0.062422j,-0.060366-0.063255j,0.000002
0.059820+0.045596j,-0.060809-0.062390j,-0.060345-0.063287j,0.000003
0.059814+0.045626j,-0.060823-0.062356j,-0.060324-0.063322j,0.000003
0.059809+0.045658j,-0.060839-0.062320j,-0.060301-0.063359j,0.000004
0.059803+0.045693j,-0.060855-0.062282j,-0.060277-0.063399j,0.000004
0.059796+0.045729j,-0.060872-0.062242j,-0.060251-0.063440j,0.000005
0.059789+0.045768j,-0.060890-0.062199j,-0.060224-0.063484j,0.000006
0.059782+0.045808j,-0.060909-0.062153j,-0.060195-0.063531j,0.000007
0.059774+0.045852j,-0.060929-0.062105j,-0.060164-0.063580j,0.000008
0.059766+0.045897j,-0.060951-0.062055j,-0.060132-0.063633j,0.000009
0.059758+0.045946j,-0.060973-0.062001j,-0.060098-0.063688j,0.000010
0.059749+0.045997j,-0.060997-0.061944j,-0.060062-0.063746j,0.000011
0.059739+0.046050j,-0.061023-0.061884j,-0.060023-0.063807j,0.000013
0.059729+0.046107j,-0.061049-0.061821j,-0.059983-0.063872j,0.000015
0.059718+0.046167j,-0.061078-0.061755j,-0.059940-0.063940j,0.000017
0.059707+0.046230j,-0.061107-0.061685j,-0.059895-0.064012j,0.000019
0.059695+0.046297j,-0.061139-0.061611j,-0.059848-0.064088j,0.000021
0.059682+0.046366j,-0.061172-0.061533j,-0.059798-0.064167j,0.000024
0.059668+0.046440j,-0.061207-0.061452j,-0.059745-0.064250j,0.000027
0.059654+0.046517j,-0.061244-0.061366j,-0.059690-0.064338j,0.000031
0.059640+0.046599j,-0.061282-0.061276j,-0.059632-0.064430j,0.000035
0.059624+0.046684j,-0.061323-0.061181j,-0.059571-0.064527j,0.000039
0.059607+0.046773j,-0.061366-0.061082j,-0.059506-0.064628j,0.000044
0.059590+0.046867j,-0.061411-0.060978j,-0.059439-0.064734j,0.000049
0.059572+0.046966j,-0.061458-0.060869j,-0.059368-0.064845j,0.000055
0.059553+0.047069j,-0.061507-0.060754j,-0.059293-0.064962j,0.000062
