0.762847-0.000000j,0.040368+3.142060j,0.040368+3.141125j,0.000000
0.762884-0.000000j,0.040355+3.142063j,0.040355+3.141123j,0.000000
0.763046-0.000000j,0.040300+3.142074j,0.040300+3.141111j,0.000000
0.763355-0.000000j,0.040195+3.142095j,0.040195+3.141091j,0.000001
0.763678-0.000000j,0.040084+3.142116j,0.040084+3.141070j,0.000001
0.764024-0.000000j,0.039966+3.142137j,0.039966+3.141048j,0.000002
0.764394-0.000000j,0.039840+3.142159j,0.039840+3.141026j,0.000002
0.764788-0.000000j,0.039706+3.142182j,0.039706+3.141004j,0.000003
0.765208-0.000000j,0.039563+3.142205j,0.039563+3.140981j,0.000003
0.765655-0.000000j,0.039411+3.142228j,0.039411+3.140957j,0.000004
0.766131-0.000000j,0.039249+3.142253j,0.039249+3.140933j,0.000005
0.766637+0.000000j,0.039077+3.142277j,0.039077+3.140908j,0.000006
0.767175+0.000000j,0.038894+3.142303j,0.038894+3.140882j,0.000007
0.767745+0.000000j,0.038701+3.142329j,0.038701+3.140856j,0.000008
0.768350+0.000000j,0.038495+3.142356j,0.038495+3.140830j,0.000009
0.768991+0.000000j,0.038278+3.142383j,0.038278+3.140803j,0.000011
0.769670+0.000000j,0.038048+3.142410j,0.038048+3.140775j,0.000012
0.770388+0.000000j,0.037805+3.142439j,0.037805+3.140746j,0.000014
0.771148+0.000000j,0.037549+3.142468j,0.037549+3.140717j,0.000015
0.771951+0.000000j,0.037278+3.142498j,0.037278+3.140688j,0.000017
0.772798+0.000000j,0.036992+3.142528j,0.036992+3.140658j,0.000019
0.773693+0.000000j,0.036691+3.142559j,0.036691+3.140627j,0.000021
0.774636+0.000000j,0.036373+3.142590j,0.036373+3.140595j,0.000024
0.775630+0.000000j,0.036039+3.142622j,0.036039+3.140563j,0.000026
0.776677+0.000000j,0.035688+3.142655j,0.035688+3.140530j,0.000029
0.777780+0.000000j,0.035319+3.142689j,0.035319+3.140497j,0.000032
0.778940+0.000000j,0.034930+3.142723j,0.034930+3.140463j,0.000036
0.780159+0.000000j,0.034523+3.142757j,0.034523+3.140428j,0.000039
0.781441+0.000000j,0.034095+3.142793j,0.034095+3.140392j,0.000043
0.782787+0.000000j,0.033647+3.142829j,0.033647+3.140356j,0.000048
