1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526215+0.000000j,-0.137528-0.000000j,-0.137683-0.000000j,0.000000
1.526216+0.000098j,-0.137528-0.000015j,-0.137683-0.000018j,0.000000
1.526228+0.000367j,-0.137530-0.000055j,-0.137686-0.000067j,0.000000
1.526254+0.000631j,-0.137533-0.000095j,-0.137691-0.000115j,0.000000
1.526294+0.000900j,-0.137539-0.000136j,-0.137699-0.000163j,0.000000
1.526347+0.001173j,-0.137546-0.000177j,-0.137709-0.000213j,0.000000
1.526414+0.001454j,-0.137555-0.000220j,-0.137722-0.000263j,0.000000
1.526493+0.001745j,-0.137566-0.000265j,-0.137737-0.000315j,0.000000
1.526586+0.002049j,-0.137579-0.000312j,-0.137755-0.000369j,0.000000
1.526694+0.002367j,-0.137595-0.000361j,-0.137776-0.000425j,0.000000
1.526815+0.002702j,-0.137612-0.000414j,-0.137799-0.000484j,0.000000
1.526953+0.003055j,-0.137632-0.000469j,-0.137825-0.000546j,0.000000
1.527105+0.003429j,-0.137654-0.000528j,-0.137854-0.000612j,0.000000
1.527275+0.003825j,-0.137679-0.000590j,-0.137886-0.000681j,0.000000
1.527461+0.004245j,-0.137706-0.000657j,-0.137920-0.000754j,0.000001
1.527665+0.004692j,-0.137737-0.000727j,-0.137958-0.000831j,0.000001
1.527888+0.005165j,-0.137770-0.000803j,-0.138000-0.000913j,0.000001
1.528130+0.005669j,-0.137806-0.000883j,-0.138044-0.001000j,0.000001
1.528392+0.006204j,-0.137846-0.000968j,-0.138092-0.001091j,0.000001
1.528675+0.006772j,-0.137889-0.001059j,-0.138144-0.001189j,0.000001
