0.673690+0.349633j,0.040084-0.121962j,0.039285-0.121031j,0.000078
0.670304+0.350422j,0.040978-0.122731j,0.040159-0.121778j,0.000084
0.666786+0.351232j,0.041909-0.123533j,0.041070-0.122557j,0.000090
0.663130+0.352063j,0.042879-0.124369j,0.042020-0.123369j,0.000097
0.659332+0.352914j,0.043890-0.125241j,0.043009-0.124217j,0.000104
0.655386+0.353786j,0.044943-0.126149j,0.044040-0.125101j,0.000111
0.651288+0.354679j,0.046040-0.127096j,0.045114-0.126023j,0.000119
0.647032+0.355591j,0.047182-0.128084j,0.046234-0.126985j,0.000128
0.642622+0.356520j,0.048370-0.129111j,0.047398-0.127986j,0.000137
0.638063+0.357465j,0.049602-0.130178j,0.048606-0.129027j,0.000146
0.633352+0.358423j,0.050879-0.131286j,0.049859-0.130108j,0.000157
0.628486+0.359393j,0.052204-0.132435j,0.051158-0.131230j,0.000168
0.623464+0.360375j,0.053576-0.133628j,0.052505-0.132395j,0.000179
0.618282+0.361366j,0.054997-0.134865j,0.053900-0.133604j,0.000192
0.612939+0.362365j,0.056468-0.136147j,0.055344-0.134857j,0.000205
0.607434+0.363371j,0.057990-0.137476j,0.056839-0.136157j,0.000219
0.601765+0.364380j,0.059565-0.138852j,0.058386-0.137504j,0.000233
0.595932+0.365391j,0.061192-0.140278j,0.059985-0.138900j,0.000249
0.589933+0.366402j,0.062874-0.141753j,0.061638-0.140345j,0.000265
0.583770+0.367410j,0.064611-0.143280j,0.063345-0.141841j,0.000282
0.577441+0.368413j,0.066403-0.144858j,0.065106-0.143388j,0.000301
0.570949+0.369407j,0.068250-0.146489j,0.066923-0.144987j,0.000320
0.564295+0.370390j,0.070155-0.148174j,0.068796-0.146640j,0.000341
0.557482+0.371358j,0.072116-0.149913j,0.070725-0.148346j,0.000362
0.550512+0.372309j,0.074134-0.151706j,0.072709-0.150106j,0.000385
0.543390+0.373238j,0.076208-0.153555j,0.074750-0.151921j,0.000409
0.536120+0.374143j,0.078339-0.155458j,0.076846-0.153791j,0.000434
0.528708+0.375020j,0.080525-0.157417j,0.078997-0.155715j,0.000460
0.521159+0.375864j,0.082766-0.159430j,0.081202-0.157693j,0.000488
0.513481+0.376674j,0.085061-0.161498j,0.083460-0.159726j,0.000517
0.505680+0.377444j,0.087409-0.163620j,0.085771-0.161813j,0.000547
0.497766+0.378171j,0.089808-0.165795j,0.088132-0.163952j,0.000579
0.489746+0.378852j,0.092257-0.168023j,0.090542-0.166144j,0.000612
0.481629+0.379483j,0.094754-0.170302j,0.093000-0.168386j,0.000646
0.473423+0.380062j,0.097298-0.172631j,0.095504-0.170679j,0.000682
0.465138+0.380584j,0.099887-0.175011j,0.098053-0.173022j,0.000719
0.456782+0.381048j,0.102519-0.177438j,0.100644-0.175412j,0.000758
0.448364+0.381451j,0.105193-0.179913j,0.103276-0.177850j,0.000799
0.439892+0.381790j,0.107907-0.182434j,0.105947-0.180334j,0.000840
0.431375+0.382062j,0.110658-0.185000j,0.108655-0.182862j,0.000884
0.422820+0.382267j,0.113446-0.187611j,0.111399-0.185435j,0.000929
0.414234+0.382401j,0.116269-0.190264j,0.114178-0.188050j,0.000975
0.405899+0.382463j,0.119034-0.192874j,0.116899-0.190623j,0.001021
0.397269+0.382454j,0.121923-0.195611j,0.119743-0.193322j,0.001071
0.388892+0.382375j,0.124753-0.198304j,0.122529-0.195979j,0.001120
0.380247+0.382218j,0.127702-0.201121j,0.125430-0.198757j,0.001173
0.371856+0.381993j,0.130591-0.203893j,0.128274-0.201492j,0.001225
0.363219+0.381684j,0.133594-0.206786j,0.131229-0.204347j,0.001281
0.354835+0.381308j,0.136538-0.209635j,0.134126-0.207158j,0.001337
0.346226+0.380844j,0.139591-0.212602j,0.137131-0.210087j,0.001396
0.337868+0.380316j,0.142585-0.215525j,0.140077-0.212973j,0.001455
0.329304+0.379694j,0.145685-0.218565j,0.143127-0.215974j,0.001517
0.320991+0.379012j,0.148727-0.221561j,0.146119-0.218933j,0.001579
0.312488+0.378232j,0.151870-0.224671j,0.149212-0.222005j,0.001644
0.304234+0.377393j,0.154955-0.227738j,0.152246-0.225034j,0.001710
0.295807+0.376454j,0.158139-0.230918j,0.155378-0.228176j,0.001779
0.287626+0.375460j,0.161264-0.234054j,0.158451-0.231274j,0.001848
