0.025851+0.851724j,-0.001425+3.142309j,0.001947+3.140707j,0.000000
0.025847+0.851734j,-0.001416+3.142320j,0.001935+3.140692j,0.000000
0.025829+0.851776j,-0.001375+3.142371j,0.001883+3.140622j,0.000000
0.025777+0.851877j,-0.001285+3.142501j,0.001769+3.140443j,0.000001
0.025716+0.851972j,-0.001209+3.142639j,0.001674+3.140254j,0.000001
0.025647+0.852059j,-0.001148+3.142780j,0.001600+3.140062j,0.000002
0.025571+0.852140j,-0.001098+3.142927j,0.001541+3.139862j,0.000002
0.025487+0.852217j,-0.001059+3.143081j,0.001496+3.139654j,0.000003
0.025395+0.852291j,-0.001028+3.143243j,0.001464+3.139436j,0.000003
0.025295+0.852362j,-0.001006+3.143413j,0.001443+3.139207j,0.000004
0.025186+0.852432j,-0.000992+3.143592j,0.001433+3.138966j,0.000005
0.025068+0.852501j,-0.000984+3.143782j,0.001433+3.138711j,0.000006
0.024941+0.852570j,-0.000983+3.143984j,0.001442+3.138441j,0.000007
0.024804+0.852638j,-0.000989+3.144197j,0.001461+3.138156j,0.000008
0.024657+0.852708j,-0.001000+3.144423j,0.001488+3.137853j,0.000009
0.024500+0.852778j,-0.001018+3.144663j,0.001524+3.137533j,0.000011
0.024331+0.852849j,-0.001041+3.144917j,0.001568+3.137193j,0.000013
0.024150+0.852922j,-0.001069+3.145187j,0.001620+3.136834j,0.000015
0.023958+0.852997j,-0.001103+3.145473j,0.001681+3.136453j,0.000017
0.023752+0.853074j,-0.001143+3.145776j,0.001749+3.136049j,0.000020
0.023534+0.853154j,-0.001188+3.146096j,0.001826+3.135622j,0.000023
0.023302+0.853236j,-0.001238+3.146436j,0.001912+3.135170j,0.000026
0.023055+0.853322j,-0.001294+3.146795j,0.002005+3.134692j,0.000030
0.022793+0.853411j,-0.001355+3.147174j,0.002108+3.134186j,0.000034
0.022516+0.853503j,-0.001423+3.147576j,0.002218+3.133652j,0.000039
0.022223+0.853600j,-0.001495+3.148000j,0.002338+3.133088j,0.000045
0.021912+0.853700j,-0.001574+3.148447j,0.002467+3.132493j,0.000051
0.021584+0.853805j,-0.001659+3.148919j,0.002605+3.131865j,0.000058
0.021237+0.853915j,-0.001749+3.149417j,0.002752+3.131203j,0.000066
0.020871+0.854029j,-0.001846+3.149942j,0.002910+3.130505j,0.000075
0.020485+0.854149j,-0.001950+3.150495j,0.003077+3.129770j,0.000085
0.020078+0.854274j,-0.002060+3.151077j,0.003255+3.128996j,0.000096
0.019649+0.854405j,-0.002176+3.151689j,0.003443+3.128182j,0.000109
0.019198+0.854542j,-0.002300+3.152333j,0.003642+3.127326j,0.000123
0.018723+0.854684j,-0.002431+3.153009j,0.003853+3.126427j,0.000139
0.018224+0.854834j,-0.002569+3.153720j,0.004075+3.125482j,0.000157
0.017700+0.854990j,-0.002715+3.154466j,0.004310+3.124490j,0.000176
0.017149+0.855153j,-0.002869+3.155249j,0.004557+3.123449j,0.000198
0.016571+0.855323j,-0.003031+3.156070j,0.004817+3.122357j,0.000223
0.015965+0.855500j,-0.003201+3.156931j,0.005090+3.121213j,0.000250
0.015329+0.855685j,-0.003380+3.157833j,0.005377+3.120014j,0.000280
0.014663+0.855879j,-0.003568+3.158777j,0.005678+3.118759j,0.000313
0.013966+0.856080j,-0.003765+3.159766j,0.005994+3.117445j,0.000350
0.013235+0.856290j,-0.003972+3.160800j,0.006324+3.116070j,0.000391
0.012471+0.856508j,-0.004189+3.161881j,0.006671+3.114632j,0.000436
0.011671+0.856736j,-0.004416+3.163012j,0.007034+3.113130j,0.000485
0.010835+0.856973j,-0.004653+3.164193j,0.007413+3.111559j,0.000540
0.009962+0.857219j,-0.004901+3.165427j,0.007810+3.109920j,0.000600
0.009049+0.857475j,-0.005160+3.166714j,0.008225+3.108208j,0.000667
0.008097+0.857741j,-0.005431+3.168058j,0.008657+3.106422j,0.000740
0.007102+0.858018j,-0.005714+3.169459j,0.009109+3.104559j,0.000820
0.006065+0.858304j,-0.006009+3.170921j,0.009581+3.102616j,0.000908
0.004982+0.858602j,-0.006317+3.172443j,0.010072+3.100592j,0.001004
0.003854+0.858910j,-0.006638+3.174030j,0.010584+3.098483j,0.001109
0.002678+0.859230j,-0.006972+3.175682j,0.011118+3.096286j,0.001225
0.001454+0.859561j,-0.007320+3.177401j,0.011673+3.094000j,0.001351
0.000178+0.859903j,-0.007683+3.179190j,0.012252+3.091621j,0.001489
-0.001150+0.860257j,-0.008060+3.181051j,0.012853+3.089146j,0.001640
-0.002532+0.860624j,-0.008452+3.182987j,0.013479+3.086573j,0.001804
-0.003970+0.861002j,-0.008860+3.184998j,0.014130+3.083898j,0.001983
-0.005465+0.861393j,-0.009284+3.187088j,0.014806+3.081118j,0.002178
-0.007020+0.861796j,-0.009725+3.189259j,0.015508+3.078231j,0.002390
-0.008636+0.862212j,-0.010182+3.191513j,0.016237+3.075233j,0.002621
-0.010315+0.862640j,-0.010657+3.193853j,0.016994+3.072120j,0.002872
-0.012060+0.863081j,-0.011150+3.196281j,0.017779+3.068890j,0.003144
-0.013871+0.863536j,-0.011662+3.198799j,0.018594+3.065539j,0.003439
-0.015751+0.864003j,-0.012193+3.201411j,0.019438+3.062064j,0.003760
-0.017703+0.864483j,-0.012743+3.204118j,0.020313+3.058461j,0.004107
-0.019728+0.864977j,-0.013313+3.206924j,0.021220+3.054727j,0.004483
-0.021829+0.865483j,-0.013904+3.209830j,0.022160+3.050857j,0.004890
-0.024007+0.866002j,-0.014516+3.212841j,0.023133+3.046849j,0.005330
-0.026266+0.866535j,-0.015150+3.215958j,0.024140+3.042698j,0.005805
-0.028607+0.867080j,-0.015806+3.219185j,0.025181+3.038401j,0.006319
-0.031032+0.867638j,-0.016485+3.222523j,0.026259+3.033953j,0.006873
-0.033546+0.868208j,-0.017188+3.225978j,0.027374+3.029350j,0.007471
-0.036149+0.868791j,-0.017915+3.229550j,0.028526+3.024589j,0.008116
-0.038845+0.869386j,-0.018667+3.233244j,0.029717+3.019665j,0.008811
-0.041636+0.869992j,-0.019444+3.237062j,0.030947+3.014573j,0.009559
-0.044525+0.870610j,-0.020247+3.241008j,0.032217+3.009310j,0.010364
-0.047515+0.871239j,-0.021077+3.245085j,0.033529+3.003871j,0.011230
-0.050608+0.871879j,-0.021934+3.249296j,0.034883+2.998251j,0.012161
