0.039137+0.797082j,-0.061290-3.195483j,-0.224175-3.145522j,0.005984
0.039594+0.794946j,-0.063735-3.197636j,-0.233114-3.145678j,0.006470
0.040062+0.792752j,-0.066253-3.199852j,-0.242319-3.145840j,0.006990
0.040540+0.790499j,-0.068845-3.202134j,-0.251796-3.146005j,0.007547
0.041030+0.788186j,-0.071512-3.204484j,-0.261549-3.146176j,0.008143
0.041530+0.785813j,-0.074257-3.206901j,-0.271583-3.146351j,0.008779
0.042042+0.783379j,-0.077080-3.209388j,-0.281902-3.146531j,0.009458
0.042564+0.780884j,-0.079982-3.211945j,-0.292512-3.146716j,0.010183
0.043097+0.778326j,-0.082966-3.214574j,-0.303418-3.146906j,0.010956
0.043641+0.775706j,-0.086033-3.217277j,-0.314625-3.147101j,0.011779
0.044195+0.773022j,-0.089183-3.220054j,-0.326138-3.147301j,0.012657
0.044760+0.770274j,-0.092419-3.222907j,-0.337962-3.147506j,0.013591
0.045336+0.767461j,-0.095741-3.225837j,-0.350103-3.147716j,0.014584
0.045923+0.764584j,-0.099153-3.228846j,-0.362566-3.147932j,0.015641
0.046520+0.761640j,-0.102654-3.231936j,-0.375357-3.148153j,0.016764
0.047127+0.758630j,-0.106247-3.235107j,-0.388483-3.148379j,0.017956
0.047745+0.755553j,-0.109934-3.238362j,-0.401948-3.148611j,0.019223
0.048373+0.752408j,-0.113716-3.241701j,-0.415760-3.148848j,0.020567
0.049011+0.749194j,-0.117596-3.245128j,-0.429925-3.149092j,0.021993
0.049659+0.745912j,-0.121574-3.248644j,-0.444451-3.149340j,0.023505
0.050317+0.742559j,-0.125653-3.252250j,-0.459343-3.149595j,0.025108
0.050986+0.739136j,-0.129836-3.255949j,-0.474610-3.149856j,0.026806
0.051663+0.735640j,-0.134125-3.259742j,-0.490260-3.150122j,0.028605
0.052351+0.732073j,-0.138521-3.263633j,-0.506301-3.150395j,0.030510
0.053048+0.728432j,-0.143027-3.267623j,-0.522741-3.150674j,0.032527
0.053755+0.724716j,-0.147647-3.271716j,-0.539591-3.150959j,0.034661
0.054471+0.720925j,-0.152382-3.275913j,-0.556860-3.151250j,0.036920
0.055197+0.717058j,-0.157237-3.280217j,-0.574559-3.151548j,0.039309
0.055932+0.713112j,-0.162213-3.284632j,-0.592699-3.151853j,0.041837
0.056675+0.709087j,-0.167315-3.289161j,-0.611291-3.152164j,0.044510
0.057428+0.704981j,-0.172545-3.293808j,-0.630350-3.152483j,0.047338
0.058190+0.700793j,-0.177909-3.298576j,-0.649888-3.152808j,0.050328
0.058961+0.696521j,-0.183410-3.303469j,-0.669920-3.153141j,0.053491
0.059741+0.692163j,-0.189053-3.308492j,-0.690463-3.153481j,0.056835
0.060529+0.687716j,-0.194842-3.313649j,-0.711534-3.153829j,0.060373
0.061326+0.683179j,-0.200784-3.318947j,-0.733152-3.154185j,0.064116
0.062132+0.678549j,-0.206884-3.324390j,-0.755337-3.154549j,0.068076
0.062947+0.673823j,-0.213148-3.329984j,-0.778113-3.154922j,0.072267
0.063770+0.668998j,-0.219584-3.335738j,-0.801503-3.155304j,0.076705
0.064602+0.664070j,-0.226199-3.341657j,-0.825536-3.155694j,0.081405
0.065443+0.659035j,-0.233002-3.347751j,-0.850240-3.156095j,0.086387
0.066293+0.653889j,-0.240002-3.354029j,-0.875651-3.156506j,0.091669
0.067152+0.648628j,-0.247210-3.360500j,-0.901804-3.156927j,0.097273
0.068020+0.643245j,-0.254639-3.367178j,-0.928742-3.157360j,0.103225
0.068898+0.637733j,-0.262300-3.374074j,-0.956511-3.157806j,0.109551
0.069785+0.632087j,-0.270209-3.381203j,-0.985163-3.158264j,0.116282
0.070683+0.626297j,-0.278383-3.388581j,-1.014757-3.158736j,0.123453
0.071590+0.620355j,-0.286841-3.396227j,-1.045357-3.159224j,0.131102
0.072509+0.614252j,-0.295603-3.404161j,-1.077037-3.159728j,0.139272
0.073438+0.607976j,-0.304690-3.412404j,-1.109873-3.160250j,0.148013
0.074365+0.601608j,-0.313995-3.420860j,-1.143471-3.160784j,0.157242
0.075288+0.595156j,-0.323511-3.429523j,-1.177799-3.161330j,0.166970
0.076207+0.588620j,-0.333240-3.438399j,-1.212872-3.161889j,0.177223
0.077120+0.582002j,-0.343188-3.447492j,-1.248701-3.162461j,0.188025
0.078025+0.575303j,-0.353357-3.456808j,-1.285296-3.163048j,0.199403
0.078924+0.568524j,-0.363752-3.466352j,-1.322667-3.163649j,0.211383
0.079813+0.561668j,-0.374375-3.476128j,-1.360821-3.164267j,0.223992
