0.015863+0.815224j,0.071850+3.159185j,-0.054087+3.130583j,0.003080
0.015370+0.813511j,0.075233+3.160015j,-0.056636+3.130065j,0.003376
0.014861+0.811735j,0.078748+3.160877j,-0.059284+3.129527j,0.003698
0.014334+0.809895j,0.082397+3.161772j,-0.062034+3.128968j,0.004048
0.013789+0.807988j,0.086186+3.162703j,-0.064889+3.128388j,0.004428
0.013226+0.806013j,0.090118+3.163669j,-0.067853+3.127785j,0.004841
0.012645+0.803968j,0.094197+3.164671j,-0.070929+3.127160j,0.005288
0.012045+0.801852j,0.098429+3.165712j,-0.074119+3.126512j,0.005774
0.011426+0.799663j,0.102818+3.166792j,-0.077429+3.125839j,0.006300
0.010788+0.797398j,0.107368+3.167913j,-0.080862+3.125141j,0.006869
0.010130+0.795057j,0.112085+3.169075j,-0.084420+3.124418j,0.007486
0.009451+0.792637j,0.116973+3.170281j,-0.088109+3.123668j,0.008152
0.008753+0.790136j,0.122038+3.171531j,-0.091932+3.122892j,0.008873
0.008033+0.787552j,0.127284+3.172827j,-0.095893+3.122087j,0.009653
0.007292+0.784885j,0.132717+3.174170j,-0.099997+3.121253j,0.010495
0.006530+0.782130j,0.138342+3.175563j,-0.104247+3.120390j,0.011403
0.005747+0.779288j,0.144166+3.177006j,-0.108648+3.119495j,0.012384
0.004941+0.776356j,0.150193+3.178501j,-0.113205+3.118570j,0.013443
0.004114+0.773331j,0.156429+3.180050j,-0.117922+3.117612j,0.014583
0.003264+0.770212j,0.162881+3.181655j,-0.122804+3.116620j,0.015813
0.002392+0.766998j,0.169555+3.183318j,-0.127856+3.115595j,0.017138
0.001496+0.763685j,0.176456+3.185040j,-0.133083+3.114533j,0.018564
0.000578+0.760272j,0.183592+3.186823j,-0.138491+3.113436j,0.020100
-0.000363+0.756758j,0.190969+3.188670j,-0.144084+3.112301j,0.021752
-0.001328+0.753139j,0.198593+3.190582j,-0.149869+3.111127j,0.023529
-0.002316+0.749414j,0.206472+3.192563j,-0.155852+3.109913j,0.025440
-0.003327+0.745582j,0.214613+3.194614j,-0.162037+3.108659j,0.027494
-0.004362+0.741640j,0.223022+3.196737j,-0.168431+3.107362j,0.029701
-0.005420+0.737585j,0.231708+3.198936j,-0.175041+3.106022j,0.032071
-0.006498+0.733433j,0.240642+3.201204j,-0.181847+3.104643j,0.034605
-0.007595+0.729185j,0.249827+3.203542j,-0.188850+3.103224j,0.037313
