-0.026650-0.851150j,-0.001483+3.142446j,0.001930+3.140387j,0.000000
-0.026646-0.851159j,-0.001469+3.142447j,0.001912+3.140386j,0.000000
-0.026625-0.851198j,-0.001409+3.142452j,0.001831+3.140383j,0.000000
-0.026569-0.851294j,-0.001256+3.142470j,0.001627+3.140366j,0.000001
-0.026510-0.851380j,-0.001114+3.142496j,0.001437+3.140338j,0.000001
-0.026440-0.851467j,-0.000966+3.142537j,0.001238+3.140291j,0.000002
-0.026376-0.851533j,-0.000847+3.142581j,0.001079+3.140238j,0.000002
-0.026300-0.851598j,-0.000722+3.142642j,0.000909+3.140163j,0.000002
-0.026215-0.851655j,-0.000603+3.142717j,0.000748+3.140068j,0.000003
-0.026126-0.851702j,-0.000495+3.142804j,0.000599+3.139959j,0.000003
-0.026036-0.851739j,-0.000398+3.142897j,0.000466+3.139839j,0.000003
-0.025948-0.851767j,-0.000314+3.142994j,0.000350+3.139715j,0.000004
-0.025852-0.851790j,-0.000233+3.143102j,0.000236+3.139575j,0.000004
-0.025751-0.851807j,-0.000155+3.143220j,0.000127+3.139422j,0.000005
-0.025645-0.851819j,-0.000080+3.143348j,0.000022+3.139255j,0.000005
-0.025532-0.851827j,-0.000007+3.143486j,-0.000082+3.139075j,0.000006
-0.025412-0.851831j,0.000064+3.143636j,-0.000184+3.138879j,0.000006
-0.025284-0.851831j,0.000135+3.143797j,-0.000285+3.138668j,0.000007
-0.025149-0.851827j,0.000205+3.143970j,-0.000387+3.138441j,0.000008
-0.025004-0.851820j,0.000276+3.144157j,-0.000490+3.138197j,0.000009
-0.024851-0.851809j,0.000347+3.144356j,-0.000595+3.137935j,0.000010
-0.024688-0.851795j,0.000420+3.144570j,-0.000701+3.137655j,0.000011
-0.024515-0.851778j,0.000493+3.144798j,-0.000811+3.137355j,0.000013
-0.024332-0.851757j,0.000569+3.145042j,-0.000923+3.137034j,0.000015
-0.024137-0.851733j,0.000647+3.145302j,-0.001039+3.136693j,0.000017
-0.023930-0.851705j,0.000728+3.145579j,-0.001159+3.136329j,0.000019
-0.023710-0.851674j,0.000811+3.145873j,-0.001284+3.135941j,0.000022
-0.023478-0.851640j,0.000897+3.146186j,-0.001414+3.135530j,0.000025
-0.023231-0.851603j,0.000987+3.146518j,-0.001550+3.135092j,0.000028
-0.022970-0.851562j,0.001081+3.146870j,-0.001691+3.134629j,0.000032
-0.022695-0.851517j,0.001178+3.147243j,-0.001839+3.134137j,0.000037
