-0.039998-0.847917j,-0.003071-3.194901j,-0.012848-3.155963j,0.000341
-0.040726-0.847666j,-0.003232-3.197853j,-0.013557-3.156761j,0.000380
-0.041487-0.847404j,-0.003400-3.200936j,-0.014298-3.157594j,0.000422
-0.042280-0.847129j,-0.003577-3.204158j,-0.015071-3.158464j,0.000469
-0.043109-0.846842j,-0.003762-3.207521j,-0.015879-3.159373j,0.000520
-0.043973-0.846540j,-0.003955-3.211032j,-0.016723-3.160321j,0.000576
-0.044873-0.846225j,-0.004157-3.214694j,-0.017603-3.161311j,0.000638
-0.045812-0.845896j,-0.004368-3.218514j,-0.018521-3.162343j,0.000706
-0.046790-0.845551j,-0.004588-3.222497j,-0.019478-3.163418j,0.000781
-0.047808-0.845190j,-0.004818-3.226649j,-0.020476-3.164539j,0.000863
-0.048868-0.844813j,-0.005058-3.230974j,-0.021515-3.165707j,0.000952
-0.049972-0.844419j,-0.005308-3.235479j,-0.022598-3.166924j,0.001050
-0.051120-0.844008j,-0.005568-3.240169j,-0.023725-3.168190j,0.001157
-0.052313-0.843578j,-0.005840-3.245052j,-0.024899-3.169509j,0.001274
-0.053554-0.843128j,-0.006122-3.250132j,-0.026120-3.170880j,0.001402
-0.054843-0.842659j,-0.006417-3.255418j,-0.027390-3.172307j,0.001541
-0.056183-0.842170j,-0.006723-3.260914j,-0.028712-3.173791j,0.001693
-0.057574-0.841658j,-0.007042-3.266629j,-0.030085-3.175334j,0.001858
-0.059018-0.841125j,-0.007373-3.272568j,-0.031513-3.176937j,0.002038
-0.060517-0.840568j,-0.007718-3.278740j,-0.032996-3.178603j,0.002234
-0.062072-0.839987j,-0.008076-3.285151j,-0.034537-3.180334j,0.002447
-0.063684-0.839381j,-0.008448-3.291809j,-0.036137-3.182131j,0.002679
-0.065356-0.838749j,-0.008834-3.298720j,-0.037798-3.183997j,0.002930
-0.067089-0.838090j,-0.009236-3.305894j,-0.039522-3.185933j,0.003203
-0.068884-0.837402j,-0.009652-3.313337j,-0.041310-3.187942j,0.003499
-0.070743-0.836685j,-0.010084-3.321058j,-0.043165-3.190025j,0.003820
-0.072667-0.835938j,-0.010533-3.329063j,-0.045089-3.192186j,0.004167
-0.074659-0.835160j,-0.010997-3.337360j,-0.047082-3.194425j,0.004543
