0.025902+0.850514j,0.003850-3.141250j,-0.002880-3.141736j,0.000007
0.025877+0.850349j,0.004140-3.141135j,-0.003099-3.141814j,0.000009
0.025847+0.850175j,0.004451-3.141018j,-0.003334-3.141892j,0.000011
0.025812+0.849990j,0.004783-3.140899j,-0.003585-3.141970j,0.000012
0.025772+0.849794j,0.005137-3.140778j,-0.003853-3.142050j,0.000015
0.025727+0.849587j,0.005515-3.140655j,-0.004138-3.142131j,0.000017
0.025677+0.849368j,0.005916-3.140528j,-0.004441-3.142214j,0.000020
0.025622+0.849136j,0.006344-3.140397j,-0.004763-3.142299j,0.000023
0.025561+0.848891j,0.006798-3.140262j,-0.005105-3.142387j,0.000026
0.025496+0.848632j,0.007279-3.140122j,-0.005469-3.142477j,0.000031
0.025425+0.848358j,0.007790-3.139976j,-0.005853-3.142571j,0.000035
0.025349+0.848069j,0.008330-3.139825j,-0.006261-3.142668j,0.000040
0.025267+0.847763j,0.008903-3.139668j,-0.006692-3.142768j,0.000046
0.025180+0.847441j,0.009508-3.139504j,-0.007148-3.142873j,0.000053
0.025086+0.847102j,0.010147-3.139332j,-0.007630-3.142982j,0.000061
0.024987+0.846744j,0.010823-3.139154j,-0.008138-3.143096j,0.000069
0.024881+0.846367j,0.011535-3.138967j,-0.008674-3.143214j,0.000079
0.024769+0.845970j,0.012286-3.138771j,-0.009240-3.143338j,0.000089
0.024651+0.845552j,0.013078-3.138566j,-0.009836-3.143468j,0.000101
0.024525+0.845113j,0.013911-3.138352j,-0.010463-3.143603j,0.000115
0.024393+0.844651j,0.014788-3.138129j,-0.011124-3.143744j,0.000130
0.024253+0.844166j,0.015711-3.137894j,-0.011818-3.143892j,0.000147
0.024106+0.843657j,0.016680-3.137649j,-0.012548-3.144047j,0.000166
0.023952+0.843123j,0.017699-3.137392j,-0.013315-3.144209j,0.000186
0.023789+0.842562j,0.018768-3.137123j,-0.014120-3.144378j,0.000210
0.023618+0.841974j,0.019891-3.136842j,-0.014965-3.144555j,0.000236
0.023439+0.841358j,0.021068-3.136548j,-0.015851-3.144739j,0.000265
0.023250+0.840714j,0.022303-3.136240j,-0.016780-3.144933j,0.000297
0.023053+0.840038j,0.023596-3.135919j,-0.017754-3.145135j,0.000332
0.022847+0.839332j,0.024951-3.135582j,-0.018773-3.145346j,0.000371
0.022631+0.838593j,0.026369-3.135231j,-0.019841-3.145567j,0.000415
0.022405+0.837821j,0.027853-3.134863j,-0.020958-3.145797j,0.000463
0.022169+0.837014j,0.029405-3.134479j,-0.022126-3.146038j,0.000516
0.021922+0.836171j,0.031028-3.134079j,-0.023348-3.146290j,0.000574
0.021665+0.835291j,0.032724-3.133660j,-0.024624-3.146552j,0.000639
0.021396+0.834373j,0.034495-3.133223j,-0.025958-3.146826j,0.000710
0.021116+0.833415j,0.036345-3.132767j,-0.027350-3.147112j,0.000788
0.020825+0.832417j,0.038276-3.132292j,-0.028804-3.147410j,0.000874
0.020521+0.831376j,0.040291-3.131796j,-0.030321-3.147720j,0.000968
