-0.025653-0.851882j,-0.000075+3.139319j,-0.000006+3.143303j,0.000000
-0.025663-0.851881j,-0.000066+3.139334j,-0.000012+3.143291j,0.000000
-0.025707-0.851879j,-0.000027+3.139405j,-0.000040+3.143236j,0.000000
-0.025816-0.851868j,0.000078+3.139578j,-0.000113+3.143104j,0.000001
-0.025917-0.851853j,0.000184+3.139733j,-0.000189+3.142985j,0.000001
-0.026013-0.851832j,0.000295+3.139875j,-0.000269+3.142875j,0.000001
-0.026103-0.851804j,0.000411+3.140001j,-0.000352+3.142777j,0.000002
-0.026194-0.851767j,0.000545+3.140123j,-0.000450+3.142682j,0.000002
-0.026270-0.851727j,0.000672+3.140216j,-0.000542+3.142609j,0.000002
-0.026344-0.851677j,0.000813+3.140299j,-0.000646+3.142542j,0.000003
-0.026412-0.851620j,0.000962+3.140366j,-0.000756+3.142488j,0.000003
-0.026472-0.851559j,0.001112+3.140417j,-0.000867+3.142445j,0.000003
-0.026528-0.851491j,0.001268+3.140455j,-0.000983+3.142413j,0.000004
-0.026579-0.851418j,0.001430+3.140482j,-0.001104+3.142388j,0.000004
-0.026627-0.851338j,0.001600+3.140498j,-0.001232+3.142371j,0.000004
-0.026673-0.851252j,0.001780+3.140506j,-0.001367+3.142361j,0.000005
-0.026717-0.851158j,0.001970+3.140504j,-0.001509+3.142357j,0.000005
-0.026760-0.851057j,0.002171+3.140495j,-0.001661+3.142358j,0.000006
-0.026802-0.850949j,0.002384+3.140478j,-0.001821+3.142365j,0.000006
-0.026843-0.850832j,0.002611+3.140453j,-0.001992+3.142377j,0.000007
-0.026884-0.850706j,0.002851+3.140421j,-0.002174+3.142395j,0.000008
-0.026925-0.850572j,0.003107+3.140382j,-0.002367+3.142417j,0.000009
-0.026966-0.850428j,0.003378+3.140336j,-0.002572+3.142445j,0.000010
-0.027008-0.850274j,0.003667+3.140283j,-0.002790+3.142477j,0.000011
-0.027051-0.850109j,0.003974+3.140222j,-0.003022+3.142514j,0.000013
-0.027094-0.849934j,0.004299+3.140155j,-0.003269+3.142556j,0.000014
-0.027139-0.849747j,0.004645+3.140080j,-0.003530+3.142603j,0.000016
-0.027184-0.849548j,0.005012+3.139997j,-0.003808+3.142655j,0.000019
-0.027232-0.849336j,0.005401+3.139907j,-0.004103+3.142711j,0.000021
-0.027281-0.849111j,0.005813+3.139810j,-0.004415+3.142773j,0.000024
-0.027332-0.848873j,0.006250+3.139705j,-0.004746+3.142841j,0.000027
-0.027385-0.848620j,0.006712+3.139591j,-0.005097+3.142913j,0.000031
-0.027440-0.848352j,0.007202+3.139469j,-0.005468+3.142992j,0.000035
-0.027497-0.848068j,0.007719+3.139339j,-0.005860+3.143075j,0.000040
-0.027557-0.847768j,0.008267+3.139200j,-0.006275+3.143165j,0.000045
-0.027620-0.847451j,0.008844+3.139051j,-0.006713+3.143261j,0.000052
-0.027686-0.847115j,0.009455+3.138893j,-0.007176+3.143363j,0.000059
-0.027754-0.846762j,0.010098+3.138726j,-0.007664+3.143471j,0.000066
-0.027826-0.846389j,0.010777+3.138548j,-0.008179+3.143586j,0.000075
-0.027901-0.845996j,0.011492+3.138359j,-0.008721+3.143708j,0.000085
-0.027980-0.845581j,0.012246+3.138160j,-0.009293+3.143837j,0.000096
-0.028062-0.845145j,0.013039+3.137950j,-0.009894+3.143974j,0.000109
-0.028148-0.844687j,0.013874+3.137728j,-0.010527+3.144118j,0.000122
-0.028239-0.844205j,0.014751+3.137493j,-0.011193+3.144270j,0.000138
-0.028333-0.843698j,0.015674+3.137247j,-0.011893+3.144430j,0.000155
-0.028432-0.843166j,0.016643+3.136987j,-0.012628+3.144599j,0.000175
-0.028535-0.842607j,0.017660+3.136713j,-0.013400+3.144777j,0.000196
-0.028643-0.842022j,0.018728+3.136426j,-0.014209+3.144963j,0.000221
-0.028756-0.841408j,0.019848+3.136124j,-0.015059+3.145159j,0.000247
-0.028874-0.840764j,0.021022+3.135807j,-0.015950+3.145365j,0.000277
-0.028997-0.840090j,0.022253+3.135475j,-0.016883+3.145582j,0.000310
-0.029126-0.839385j,0.023542+3.135127j,-0.017861+3.145808j,0.000346
-0.029261-0.838647j,0.024891+3.134761j,-0.018885+3.146046j,0.000387
-0.029401-0.837875j,0.026303+3.134379j,-0.019957+3.146295j,0.000432
-0.029547-0.837068j,0.027781+3.133978j,-0.021078+3.146555j,0.000481
-0.029700-0.836225j,0.029326+3.133559j,-0.022250+3.146828j,0.000535
-0.029859-0.835345j,0.030940+3.133121j,-0.023475+3.147113j,0.000596
-0.030024-0.834426j,0.032627+3.132663j,-0.024755+3.147411j,0.000662
-0.030197-0.833468j,0.034389+3.132184j,-0.026092+3.147722j,0.000735
-0.030376-0.832468j,0.036228+3.131684j,-0.027487+3.148047j,0.000815
-0.030563-0.831426j,0.038148+3.131162j,-0.028944+3.148387j,0.000903
-0.030757-0.830340j,0.040150+3.130618j,-0.030464+3.148741j,0.001000
-0.030959-0.829209j,0.042238+3.130049j,-0.032048+3.149111j,0.001106
-0.031168-0.828032j,0.044415+3.129457j,-0.033700+3.149496j,0.001222
-0.031386-0.826807j,0.046683+3.128839j,-0.035422+3.149898j,0.001350
-0.031612-0.825532j,0.049046+3.128196j,-0.037215+3.150317j,0.001489
-0.031846-0.824206j,0.051507+3.127525j,-0.039083+3.150753j,0.001642
