0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890899j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890899j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890625j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890624j,-1.013604-0.890900j,0.000000
0.763577-1.508301j,-1.013449-0.890624j,-1.013604-0.890901j,0.000000
0.763577-1.508301j,-1.013449-0.890624j,-1.013604-0.890901j,0.000000
0.763577-1.508301j,-1.013449-0.890624j,-1.013604-0.890901j,0.000000
0.763577-1.508301j,-1.013449-0.890624j,-1.013605-0.890901j,0.000000
0.763577-1.508301j,-1.013449-0.890624j,-1.013605-0.890901j,0.000000
0.763577-1.508301j,-1.013449-0.890624j,-1.013605-0.890901j,0.000000
0.763577-1.508301j,-1.013448-0.890624j,-1.013605-0.890901j,0.000000
