-1.153544+0.197516j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153557+0.197507j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153570+0.197499j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153583+0.197490j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153596+0.197482j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153609+0.197473j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153622+0.197465j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153635+0.197456j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153648+0.197448j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153661+0.197439j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153674+0.197431j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153686+0.197422j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153699+0.197414j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153712+0.197406j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153725+0.197397j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153737+0.197389j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153750+0.197381j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153763+0.197372j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153775+0.197364j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153788+0.197356j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153801+0.197348j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153813+0.197339j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153826+0.197331j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153838+0.197323j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153851+0.197315j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153863+0.197307j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153876+0.197299j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153888+0.197291j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153901+0.197283j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153913+0.197274j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153926+0.197266j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153938+0.197258j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153950+0.197250j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153963+0.197242j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153975+0.197234j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153987+0.197226j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.153999+0.197219j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154012+0.197211j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154024+0.197203j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154036+0.197195j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154048+0.197187j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
