-1.071470-0.238990j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071483-0.238983j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071497-0.238977j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071511-0.238971j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071525-0.238965j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071538-0.238958j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071552-0.238952j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071565-0.238946j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071579-0.238940j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071593-0.238934j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071606-0.238928j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071620-0.238922j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071633-0.238915j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071646-0.238909j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071660-0.238903j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071673-0.238897j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071687-0.238891j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071700-0.238885j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071713-0.238879j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071727-0.238873j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071740-0.238867j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071753-0.238861j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071766-0.238855j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071779-0.238849j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071793-0.238843j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071806-0.238838j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071819-0.238832j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071832-0.238826j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071845-0.238820j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071858-0.238814j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071871-0.238808j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071884-0.238802j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071897-0.238796j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071910-0.238791j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071923-0.238785j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071936-0.238779j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071949-0.238773j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071962-0.238768j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071974-0.238762j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071987-0.238756j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072000-0.238750j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072013-0.238745j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072026-0.238739j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072038-0.238733j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072051-0.238728j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072064-0.238722j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072076-0.238716j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072089-0.238711j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072102-0.238705j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072114-0.238699j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072127-0.238694j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072139-0.238688j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072152-0.238683j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072165-0.238677j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072177-0.238671j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072190-0.238666j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072202-0.238660j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072215-0.238655j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072227-0.238649j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072239-0.238644j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072252-0.238638j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072264-0.238633j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072277-0.238627j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072289-0.238622j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072301-0.238616j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072314-0.238611j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072326-0.238605j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072338-0.238600j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072350-0.238595j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072363-0.238589j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072375-0.238584j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072387-0.238578j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072399-0.238573j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072412-0.238568j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072424-0.238562j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072436-0.238557j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072448-0.238552j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072460-0.238546j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072472-0.238541j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072484-0.238536j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072496-0.238530j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072508-0.238525j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072520-0.238520j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072532-0.238515j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072544-0.238509j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072556-0.238504j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072568-0.238499j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072580-0.238494j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072592-0.238488j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072604-0.238483j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072616-0.238478j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072628-0.238473j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072640-0.238468j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072652-0.238462j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072664-0.238457j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072675-0.238452j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072687-0.238447j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072699-0.238442j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072711-0.238437j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072723-0.238431j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072734-0.238426j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072746-0.238421j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072758-0.238416j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072770-0.238411j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072781-0.238406j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072793-0.238401j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072805-0.238396j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.072816-0.238391j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072828-0.238386j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072840-0.238381j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072851-0.238376j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072863-0.238371j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072874-0.238366j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072886-0.238361j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072898-0.238356j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072909-0.238351j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072921-0.238346j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072932-0.238341j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072944-0.238336j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072955-0.238331j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072967-0.238326j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072978-0.238321j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.072990-0.238316j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073001-0.238311j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073012-0.238306j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073024-0.238301j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073035-0.238296j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073047-0.238291j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073058-0.238286j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073069-0.238281j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073081-0.238276j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073092-0.238272j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073103-0.238267j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073115-0.238262j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073126-0.238257j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073137-0.238252j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073149-0.238247j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073160-0.238243j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073171-0.238238j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073182-0.238233j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073194-0.238228j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073205-0.238223j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073216-0.238218j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073227-0.238214j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073238-0.238209j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073250-0.238204j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073261-0.238199j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073272-0.238195j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073283-0.238190j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073294-0.238185j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073305-0.238180j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073316-0.238176j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073328-0.238171j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073339-0.238166j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073350-0.238161j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073361-0.238157j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073372-0.238152j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073383-0.238147j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073394-0.238143j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073405-0.238138j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073416-0.238133j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073427-0.238129j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073438-0.238124j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073449-0.238119j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073460-0.238115j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073471-0.238110j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073482-0.238105j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073493-0.238101j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073504-0.238096j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073514-0.238091j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073525-0.238087j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073536-0.238082j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073547-0.238078j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073558-0.238073j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073569-0.238068j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073580-0.238064j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073591-0.238059j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073601-0.238055j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073612-0.238050j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073623-0.238046j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073634-0.238041j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073645-0.238037j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073655-0.238032j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073666-0.238027j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073677-0.238023j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073688-0.238018j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073698-0.238014j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073709-0.238009j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073720-0.238005j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073731-0.238000j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073741-0.237996j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073752-0.237991j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073763-0.237987j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073773-0.237982j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073784-0.237978j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073795-0.237974j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073805-0.237969j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073816-0.237965j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073827-0.237960j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
-1.073837-0.237956j,-0.000004-3.141595j,0.000004-3.141590j,0.000000
