-0.979497-0.248109j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979512-0.248104j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979527-0.248099j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979542-0.248095j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979557-0.248090j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979572-0.248086j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979586-0.248081j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979601-0.248077j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979616-0.248072j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979631-0.248068j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979645-0.248063j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979660-0.248059j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979675-0.248055j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979689-0.248050j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979704-0.248046j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979718-0.248041j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979733-0.248037j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979747-0.248033j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979762-0.248028j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979776-0.248024j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979790-0.248020j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979805-0.248015j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979819-0.248011j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979833-0.248007j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979847-0.248002j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979861-0.247998j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979876-0.247994j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979890-0.247990j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979904-0.247985j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979918-0.247981j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979932-0.247977j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979946-0.247973j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979960-0.247969j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979974-0.247965j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979987-0.247960j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980001-0.247956j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980015-0.247952j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980029-0.247948j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980043-0.247944j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980057-0.247940j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980070-0.247936j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980084-0.247932j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980098-0.247928j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980111-0.247924j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980125-0.247919j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980138-0.247915j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980152-0.247911j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980165-0.247907j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980179-0.247903j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980192-0.247899j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980206-0.247895j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980219-0.247891j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.980233-0.247887j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980246-0.247884j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980259-0.247880j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980273-0.247876j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980286-0.247872j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980299-0.247868j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980313-0.247864j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980326-0.247860j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980339-0.247856j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980352-0.247852j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980365-0.247848j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980379-0.247844j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980392-0.247841j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980405-0.247837j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980418-0.247833j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980431-0.247829j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980444-0.247825j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980457-0.247822j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980470-0.247818j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980483-0.247814j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
