-1.209721+0.130886j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209703+0.130881j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209684+0.130877j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209666+0.130872j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209649+0.130868j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209631+0.130863j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209613+0.130859j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209595+0.130855j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209577+0.130850j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209560+0.130846j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209542+0.130841j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209524+0.130837j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209507+0.130832j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209489+0.130828j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209472+0.130824j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209454+0.130819j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209437+0.130815j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209420+0.130811j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209402+0.130806j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209385+0.130802j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209368+0.130798j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209351+0.130794j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209333+0.130789j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209316+0.130785j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209299+0.130781j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209282+0.130777j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
